nome,lista,link
RE 1206824 AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84917&amp;data=17/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.29-2019>
RE 1170644 TERCEIRO AG.REG. NO RECURSO EXTRAORDINÁRIO,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84918&amp;data=17/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=1T&amp;sessao=O&amp;lista=AVULSO.30-2019>
RE 638307 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84889&amp;data=12/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=E&amp;lista=290-2019>
,,
RE 808424 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84892&amp;data=12/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=E&amp;lista=293-2019>
,,
AP 891 SEGUNDO AG.REG. NA AÇÃO PENAL,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84909&amp;data=12/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=E&amp;lista=291-2019>
CC 8018 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=83991&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=252-2019>
ACO 1616 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=84358&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=270-2019>
ACO 2290 ,True,<200 https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=82832&amp;data=11/12/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=233-2019>
