nome,lista,link
ADI 3145,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=73139&amp;data=03/10/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=14-2019
ADI 4705,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70760&amp;data=03/10/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=22-2019
ADI 3536,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=74873&amp;data=03/10/2019&amp;ministro=MIN.ROBERTOBARROSO&amp;colegiado=TP&amp;sessao=E&amp;lista=24-2019
ADI 2952,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=75641&amp;data=03/10/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=49-2019
ADI 3845,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=80344&amp;data=03/10/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=193-2019
ADI 1531,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=80485&amp;data=03/10/2019&amp;ministro=MIN.ALEXANDREDEMORAES&amp;colegiado=TP&amp;sessao=E&amp;lista=194-2019
ADI 5768,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=79284&amp;data=11/09/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=E&amp;lista=76-2019
ADI 4748,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=74281&amp;data=11/09/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=E&amp;lista=6-2019
ADI 5499,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=78626&amp;data=11/09/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=E&amp;lista=50-2019
ADI 5041,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=78627&amp;data=11/09/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=E&amp;lista=51-2019
ADI 5868,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=78628&amp;data=11/09/2019&amp;ministro=MIN.C%C3%81RMENL%C3%9ACIA&amp;colegiado=TP&amp;sessao=E&amp;lista=52-2019
ADI 3481,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68997&amp;data=11/09/2019&amp;ministro=MIN.EDSONFACHIN&amp;colegiado=TP&amp;sessao=E&amp;lista=23-2019
ADI 6087,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=78388&amp;data=21/08/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=53-2019
ADI 4945,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=78439&amp;data=21/08/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=54-2019
ADI 4555,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70461&amp;data=14/08/2019&amp;ministro=MIN.ROSAWEBER&amp;colegiado=TP&amp;sessao=O&amp;lista=14-2019
ADI 5610,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=74901&amp;data=08/08/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=E&amp;lista=3-2019
ADI 5916,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=73659&amp;data=15/05/2019&amp;ministro=MIN.MARCOAUR%C3%89LIO&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA4
ADI 4643,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=73120&amp;data=15/05/2019&amp;ministro=MIN.LUIZFUX&amp;colegiado=TP&amp;sessao=O&amp;lista=LISTA2
ADI 4816,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=70067&amp;data=09/05/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 5176,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=67766&amp;data=09/05/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA4
ADI 751,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68212&amp;data=09/05/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA1
ADI 1531,True,https://www.stf.jus.br/portal/pauta/listaMinistroInterface.asp?seqLista=68213&amp;data=09/05/2019&amp;ministro=MIN.GILMARMENDES&amp;colegiado=TP&amp;sessao=E&amp;lista=LISTA2
